"prim_key","work_employed","work_onleave","work_temp_unemployed","work_looking","work_retired","work_disabled","work_oth","work_occupation","work_self","inc_wage","inc_retempl","inc_self","inc_ss","inc_intdiv","inc_rent","inc_gov","inc_alimony","inc_child","inc_retsav","inc_wage_freq","inc_retempl_freq","inc_self_freq","inc_ss_freq","inc_intdiv_freq","inc_rent_freq","inc_gov_freq","inc_alimony_freq","inc_child_freq","inc_retsav_freq","paypref_b1","paypref_b2","paypref_nb1","paypref_nb2","paypref_lt10","paypref_10to25","paypref_25to50","paypref_50to100","paypref_100plus","mobile_howfunded","cc_num","paypref_web","cc_type_1","cc_type_2","cc_type_3","cc_type_4","cc_type_5","cc_type_6","cc_rewards_1","cc_rewards_2","cc_rewards_3","cc_rewards_4","cc_rewards_5","cc_rewards_6","cc_hasbal_1","cc_hasbal_2","cc_hasbal_3","cc_hasbal_4","cc_hasbal_5","cc_hasbal_6","cc_chip_1","cc_chip_2","cc_chip_3","cc_chip_4","cc_chip_5","cc_chip_6","dc_num","dc_logo_1","dc_logo_2","dc_logo_3","dc_logo_4","dc_logo_5","dc_rewards_1","dc_rewards_2","dc_rewards_3","dc_rewards_4","dc_rewards_5","dc_acct_1","dc_acct_2","dc_acct_3","dc_acct_4","dc_acct_5","shops_online","last_income_date","paypref_b1_why","paypref_b2_why","paypref_nb1_why","paypref_nb2_why","paypref_web_why","e_exp_csh","e_exp_chk","e_exp_od","e_exp_cc","e_exp_heloc","e_exp_sav","e_exp_payday","e_exp_fam","e_exp_cover","e_exp_pawn","e_exp_csh_saved","e_exp_chk_saved","e_exp_sav_saved","e_exp_svc_saved","e_exp_tot_saved","cashwith_amnt_prim","cashwith_amnt_oth","cashwith_location","cashwith_num_prim","cashwith_num_oth","interest_level","memory_lpd","memory_checkbook","memory_receipts","memory_finrec","memory_oth","next_income_date","scpc_date","gender","age","citizen","state_reside","marital_status","highest_education","hispaniclatino","hispaniclatino_group","race_white","race_black","race_asian","race_other","hh_size","income_hh","income_hh_gte500k","homeowner","home_value","home_debt","other_assets","other_debts","ind_weight"
"140100116",1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,3,,,,4,,,,,,2,3,1,3,1,1,3,3,3,,1,3,1,,,,,,1,,,,,,0,,,,,,1,,,,,,1,2,,,,,0,,,,,1,,,,,1,10/13/2017,6,3,2,3,3,,2000,,,,,,,2000,,121,8425,4582,928,14056,100,0,1,5,,2,0,1,1,1,0,10/31/2017,9/19/2017,1,47,1,25,4,13,0,,1,0,0,0,1,14,,1,400000,100000,400000,3800,0.396833539009094
"140100125",1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,,,,4,,,,,,7,2,3,4,3,3,3,3,3,,2,3,2,1,,,,,1,1,,,,,0,0,,,,,1,1,,,,,1,1,,,,,0,,,,,2,,,,,1,10/4/2017,4,3,7,3,7,0,0,0,2000,0,0,0,0,2000,0,0,0,20000,0,20000,60,0,1,1,,1,0,0,1,0,1,10/18/2017,9/25/2017,1,57,1,36,1,13,0,,1,0,1,0,2,16,,1,450000,0,100000,0,0.74140739440918
"140100143",0,0,0,0,0,1,0,,,0,0,0,0,0,0,1,0,0,0,,,,,,,4,,,,7,3,3,1,3,3,3,3,3,,1,3,1,,,,,,1,,,,,,0,,,,,,1,,,,,,1,1,,,,,0,,,,,,,,,,1,10/1/2017,3,3,3,1,1,0,300,0,0,0,0,0,0,300,0,0,600,0,0,600,300,0,1,1,,2,0,0,1,0,0,11/1/2017,9/21/2017,0,67,1,25,2,13,0,,1,0,0,0,1,4,,0,,,2000,800,0.481471240520477
"140100144",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,8,1,4,1,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,,,0,0,0,,,1,2,2,,,0,,4,3,4,4,,0,0,0,0,0,0,0,0,0,0,11,223,0,0,234,100,10,1,4.3482141494751,8.6964282989502,1,1,0,0,0,0,10/13/2017,9/20/2017,0,50,1,25,6,11,0,,0,1,0,0,2,7,,0,,,0,0,0.47564697265625
"140100168",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,3,7,3,1,3,3,3,3,3,,2,3,1,2,,,,,1,1,,,,,0,0,,,,,1,1,,,,,1,1,,,,,0,,,,,,,,,,1,10/20/2017,7,3,7,9,7,,,,,2000,,,,2000,,0,0,0,0,0,100,0,1,1,,2,0,0,0,1,1,,10/23/2017,1,58,1,25,1,13,0,,1,0,0,0,4,17,,1,700000,189000,250000,10000,0.633095920085907
"140100179",1,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,,2,,,,5,4,,,,,7,3,2,1,1,3,3,3,3,,2,3,1,2,,,,,1,1,,,,,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,10/5/2017,3,1,6,9,7,200,800,,,,1000,,,2000,,200,800,1000,0,2000,100,0,1,1,,3,0,1,0,0,0,11/22/2017,10/21/2017,0,50,1,25,1,13,0,,0,0,1,0,5,17,,1,500000,0,500000,200000,2.16260576248169
"140100183",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,,0,2,,,,,,,,,,7,2,3,2,3,3,3,3,3,,2,3,6,1,,,,,1,1,,,,,0,0,,,,,1,1,,,,,1,1,,,,,0,,,,,1,,,,,1,10/20/2017,3,1,3,3,1,0,500,0,0,0,500,0,0,1000,0,500,4500,5000,200,10200,40,0,1,2,,2,0,0,0,0,0,11/3/2017,9/22/2017,1,52,1,33,1,14,0,,0,0,1,0,1,14,,1,450000,200000,200000,0,0.714277029037476
"140100236",0,0,0,0,1,0,0,,,0,0,0,1,0,0,0,0,0,0,,,,4,,,,,,,2,4,4,1,1,4,4,4,4,,1,4,1,,,,,,1,,,,,,0,,,,,,1,,,,,,1,2,,,,,0,,,,,,,,,,1,10/25/2017,10,3,3,3,3,,,,2000,,,,,2000,,700,0,0,0,700,60,20,1,1,4.3482141494751,1,0,0,1,1,0,11/15/2017,9/21/2017,1,64,1,44,1,9,0,,1,0,0,0,3,16,,1,250000,80000,100000,0,4.00024652481079
"140100244",0,0,0,0,1,1,0,,,0,0,0,1,0,0,1,0,0,0,,,,4,,,4,,,,3,1,3,1,1,3,3,3,3,,1,3,3,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,10/3/2017,6,3,6,3,3,0,0,0,500,0,0,0,0,500,0,0,0,0,0,0,40,20,2,2,2,2,0,0,1,0,0,11/3/2017,9/19/2017,0,66,1,44,5,13,0,,1,0,0,0,1,3,,0,,,0,12500,0.481471240520477
"140100260",1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,3,7,3,4,1,3,3,3,7,,1,3,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,0,,,,,,,,,,1,10/2/2017,1,5,3,3,1,0,500,0,0,0,0,0,0,500,0,40,500,100,0,640,60,0,1,1,,2,0,0,0,0,0,11/1/2017,9/19/2017,1,32,0,44,6,14,0,,0,0,1,0,1,13,,0,,,0,20000,3.59173464775085
"140100288",1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,,,,5,,,,,,11,3,2,1,1,1,3,3,3,,1,3,2,,,,,,1,,,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,9/15/2017,3,3,3,1,3,0,2000,0,0,0,0,0,0,2000,0,53000,12717,130,0,65847,120,0,1,3,,1,1,0,1,0,0,,9/27/2017,1,51,1,33,6,9,0,,1,0,0,0,1,10,,1,209000,0,0,0,2.28833389282227
"140100295",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,7,2,4,1,4,4,4,4,4,,1,3,1,,,,,,1,,,,,,0,,,,,,1,,,,,,1,2,,,,,0,,,,,,,,,,1,10/27/2017,3,3,3,3,8,,2000,,,,,,,2000,,0,3350,1905,0,5255,40,0,1,2,,2,0,0,0,0,0,11/10/2017,10/1/2017,1,49,1,33,1,16,0,,1,0,0,0,5,16,,1,280000,226000,0,101000,0.802999377250671
"140100299",1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,,,1,,,,,,,,2,7,3,1,3,3,3,3,3,,3,3,1,2,1,,,,1,0,1,,,,0,0,0,,,,1,1,1,,,,1,1,,,,,0,,,,,1,,,,,1,10/18/2017,2,3,3,3,3,0,0,0,0,0,2000,0,0,2000,0,0,10000,1000,0,11000,100,0,1,1,,3,0,0,0,0,0,11/1/2017,9/23/2017,1,46,1,33,1,13,0,,1,0,0,0,4,16,,1,180000,110000,40000,20000,0.802999377250671
"140100300",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,6,2,4,3,1,4,4,4,3,,1,4,2,,,,,,0,,,,,,1,,,,,,1,,,,,,1,1,,,,,0,,,,,,,,,,1,10/11/2017,3,1,2,9,9,,,,,,1000,,,1000,,0,0,1000,0,1000,40,20,1,1,0.333333343267441,1,0,0,1,1,0,10/25/2017,9/21/2017,0,30,1,33,6,14,0,,1,0,0,0,1,8,,0,,,0,104000,0.402571618556976
"140100307",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,3,4,3,1,1,1,3,3,3,,1,3,2,,,,,,0,,,,,,0,,,,,,1,,,,,,1,1,,,,,0,,,,,,,,,,1,9/22/2017,2,2,8,3,8,,1000,,,,1000,,,2000,,0,0,8965,0,8965,100,0,1,1,,2,0,0,0,0,0,10/6/2017,9/20/2017,0,32,1,33,6,14,0,,1,0,0,0,1,11,,0,,,15000,5500,0.673895835876465
"140100310",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,2,3,2,3,3,3,3,3,3,,3,3,1,1,6,,,,1,1,1,,,,0,0,0,,,,1,1,1,,,,1,1,,,,,1,,,,,1,,,,,1,10/13/2017,3,3,3,3,3,0,1000,0,0,0,1000,0,0,2000,0,0,2000,0,0,2000,100,20,2,3,2,1,0,1,1,1,0,10/27/2017,9/22/2017,1,53,1,33,2,14,0,,1,0,0,0,1,14,,1,320000,137000,0,5000,0.396833539009094
"140100317",1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,4,,9,,,,,,,,4,2,4,1,4,4,4,4,4,,1,4,1,,,,,,0,,,,,,0,,,,,,1,,,,,,1,1,,,,,0,,,,,1,,,,,1,9/29/2017,3,3,3,3,3,2000,,,,,,,,2000,,1000,1000,4000,0,6000,60,0,1,2,,1,0,0,0,0,0,11/22/2017,9/21/2017,1,48,1,33,1,13,0,,1,0,0,0,5,15,,1,875000,600000,50000,5000,0.802999377250671
"140100324",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,4,3,4,1,4,4,4,4,3,,1,4,1,,,,,,0,,,,,,1,,,,,,0,,,,,,1,1,,,,,0,,,,,1,,,,,1,9/22/2017,3,3,3,2,3,0,0,0,0,0,1000,0,0,1000,0,0,0,1000,0,1000,40,0,1,1,,2,0,0,0,0,0,10/20/2017,9/25/2017,1,34,1,23,1,13,0,,1,0,0,0,3,14,,1,250000,175000,50000,20000,1.83869385719299
"140100329",0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,7,4,4,1,1,4,4,4,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,0,,,,,,,,,,1,9/29/2017,3,3,3,1,3,,600,,,,400,,,1000,,0,0,0,0,0,40,40,4,4.3482141494751,1,3,0,0,1,1,0,10/13/2017,10/4/2017,1,59,1,42,1,10,0,,1,0,0,0,2,13,,0,,,100000,275000,0.40124848484993
"140100333",0,0,0,0,1,0,0,,,0,0,0,0,1,0,0,0,0,0,,,,,5,,,,,,2,1,1,4,1,1,1,1,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,0,,,,,1,,,,,1,9/25/2017,3,3,3,3,3,0,0,2000,0,0,0,0,0,2000,0,0,27000,0,0,27000,40,20,1,3,4,1,0,0,1,0,0,12/12/2017,9/19/2017,1,61,1,23,4,10,0,,1,0,0,0,1,4,,1,100000,0,5000,9000,0.466062963008881
"140100335",1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,2,,4,,,6,,,,,3,7,3,1,3,3,3,3,3,,2,3,2,1,,,,,1,1,,,,,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,10/24/2017,7,3,3,1,3,,,,,,2000,,,2000,,0,0,2000,0,2000,100,100,2,0.333333343267441,0.0833333358168602,2,0,0,1,1,0,11/7/2017,9/30/2017,1,33,1,23,6,13,0,,1,0,0,0,2,15,,1,500000,320000,250000,15000,1.70712912082672
"140100346",0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,0,0,0,,,,4,,,,,,,1,4,1,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,0,,,,,,,,,,0,10/1/2017,3,9,3,3,,200,,,,,,,,200,,200,,,,200,40,0,4,4.3482141494751,,2,0,0,0,0,0,11/1/2017,9/20/2017,1,71,1,23,4,3,0,,1,0,0,0,2,3,,0,,,0,0,1.28943765163422
"140100378",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,7,4,4,1,4,4,4,4,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,0,0,,,,1,2,,,,1,10/19/2017,3,3,3,1,3,0,1000,,,,1000,,,2000,,0,0,350,0,350,20,40,4,1,0.333333343267441,2,0,0,1,1,0,11/2/2017,9/24/2017,1,55,1,37,1,13,0,,1,0,0,0,2,14,,0,,,30000,35000,0.284071981906891
"140100414",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,1,4,4,1,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,0,,,,,,,,,,0,10/5/2017,3,8,9,4,,0,500,0,0,0,0,0,0,500,0,0,0,0,0,0,20,20,1,4.3482141494751,4.3482141494751,1,0,1,1,0,0,10/19/2017,9/24/2017,0,40,1,9,6,13,1,2,0,0,0,1,3,1,,0,,,0,800,0.432272911071777
"140100425",0,0,0,0,1,0,0,,,0,1,0,0,1,0,0,0,0,1,,4,,,4,,,,,5,3,2,3,2,3,3,3,3,3,,2,3,6,1,,,,,1,1,,,,,0,0,,,,,1,1,,,,,1,1,,,,,0,,,,,,,,,,1,9/29/2017,7,3,7,8,7,,,,2000,,,,,2000,,207,13344,20400,0,33951,100,0,2,0.416666656732559,,1,0,0,1,0,0,10/31/2017,9/19/2017,0,71,1,9,1,15,0,,1,0,0,0,2,14,,1,300000,0,50000,0,0.699877560138702
"140100433",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,,,,,,4,,,,6,4,1,4,1,1,4,4,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,0,,,,,,,,,,1,10/20/2017,3,1,1,1,1,60,22,0,0,0,800,0,0,882,0,60,22,800,0,882,100,20,1,8.6964282989502,1,2,1,0,0,0,0,11/3/2017,9/20/2017,0,37,1,9,4,9,0,,0,1,0,0,5,4,,0,,,0,30000,1.38569366931915
"140100434",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,4,2,3,4,1,4,4,4,3,,5,3,1,1,1,2,4,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,0,,1,1,,,,,0,,,,,1,,,,,1,10/5/2017,3,1,2,3,3,0,0,0,0,0,2000,0,0,2000,0,400,100,3000,0,3500,50,20,4,2,2,2,0,1,1,0,0,10/19/2017,9/23/2017,0,47,1,9,6,12,1,4,1,0,0,0,1,10,,1,130000,0,0,30000,1.06053483486176
"140100440",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,7,6,4,3,4,4,4,4,3,,1,3,3,,,,,,1,,,,,,0,,,,,,1,,,,,,1,1,,,,,0,,,,,,,,,,1,10/12/2017,3,3,3,3,8,,,,,,2000,,,2000,,0,0,10000,0,10000,20,0,6,1,,3,0,0,1,0,0,10/26/2017,9/30/2017,0,32,1,9,1,13,0,,0,0,1,0,3,14,,0,,,25000,38000,1.77112126350403
"140100443",0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,2,1,3,1,1,3,3,3,,1,3,6,,,,,,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,0,,,,,1,,,,,1,2/10/2014,3,6,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,2,,1,0,0,1,1,0,,9/20/2017,0,48,1,12,6,10,0,,1,0,0,0,2,1,,1,8000,0,0,48000,0.253044039011002
"140100455",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,6,2,3,1,1,3,3,3,3,,1,10,1,,,,,,1,,,,,,0,,,,,,1,,,,,,1,1,,,,,0,,,,,,,,,,1,10/20/2017,3,1,3,9,8,0,0,0,0,0,2000,0,0,2000,0,0,0,110000,0,110000,220,0,1,2,,2,0,0,1,1,0,11/3/2017,10/9/2017,1,51,1,9,1,13,0,,1,0,0,0,4,17,,1,350000,0,100000,0,0.802999377250671
"140100463",0,0,0,0,1,0,0,,,0,1,0,1,1,0,0,0,0,1,,4,,4,9,,,,,4,7,2,3,2,1,4,3,3,3,,2,3,6,6,,,,,1,1,,,,,0,0,,,,,1,,,,,,1,1,,,,,0,,,,,2,,,,,1,10/1/2017,3,1,3,1,8,,,,,,2000,,,2000,,0,0,8000,0,8000,100,0,1,4.3482141494751,,2,0,1,1,0,0,11/8/2017,9/20/2017,1,70,1,12,1,14,0,,1,0,0,0,2,14,,1,400000,280000,250000,175000,0.564917922019959
"140100464",1,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,0,,,2,,,4,,,,,2,3,1,3,1,1,4,3,3,,2,3,5,1,,,,,1,1,,,,,0,0,,,,,1,1,,,,,1,1,,,,,0,,,,,1,,,,,1,10/4/2017,3,8,3,7,3,,,,,,2000,,,2000,,0,0,15000,0,15000,100,50,2,4.3482141494751,4.3482141494751,3,0,1,1,0,0,10/18/2017,9/20/2017,1,63,1,9,1,10,0,,1,0,0,0,3,16,,1,300000,50000,1500000,150000,0.97919774055481
"140100471",0,0,0,0,1,0,0,,,0,1,0,1,0,0,0,0,0,0,,4,,4,,,,,,,2,1,1,3,1,1,1,1,2,,2,,1,2,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,0,10/11/2017,3,3,3,6,,0,0,0,0,0,2000,0,0,2000,0,200,0,12000,0,12200,200,0,2,17.3928565979004,,2,1,1,0,0,0,11/1/2017,9/19/2017,1,65,1,9,4,10,0,,1,0,0,0,1,12,,1,250000,50000,150000,10000,0.766227722167969
"140100477",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,7,2,10,6,1,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,0,,,,,1,,,,,0,10/20/2017,9,9,9,9,,0,500,0,0,0,0,0,0,500,0,0,0,0,400,400,40,20,1,4.3482141494751,1,2,0,0,0,0,0,11/3/2017,9/22/2017,1,36,1,9,1,13,0,,1,0,0,0,4,16,,1,1,1,1,1,0.785557627677917
"140100480",0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,0,0,0,,,,4,,,,,,,11,4,4,1,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,0,0,,,,,,,,,0,10/3/2017,2,2,2,3,,0,0,0,0,0,0,0,0,0,0,40,13,0,0,53,40,0,2,1,,1,0,0,0,0,0,11/3/2017,10/24/2017,0,54,1,9,4,13,0,,0,1,0,0,5,8,,0,,,5000,1000,0.547144293785095
"140100506",1,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,4,,,,,,,,,7,2,1,3,1,1,1,7,3,,2,3,5,6,,,,,1,1,,,,,0,0,,,,,1,1,,,,,1,1,,,,,0,,,,,,,,,,1,10/13/2017,3,6,1,7,8,,,,,,2000,,,2000,,100,0,11700,133,11933,60,0,1,4.3482141494751,,3,0,1,1,1,0,10/27/2017,9/23/2017,1,60,1,9,1,10,0,,1,0,0,0,2,16,,1,240000,51730,40000,3200,0.517756044864655
